Image,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean
0,447.8201434,695.1835978,237567219.6,3.652259514,113.3397658,6.426550253,773.7348199,584.622288
1,564.6541917,735.6142916,2920088348,3.556232989,85.07987313,17.67700324,861.9132624,654.2608823
2,306.0128626,655.2948249,2887602496,4.256333207,137.0088855,7.332908687,816.6365573,519.1419633
3,292.8465891,689.3096086,3510927571,4.383438067,146.97607,6.596454418,842.6840074,537.8294021
4,382.0418403,628.3318647,690770477.1,3.654264496,120.7989127,5.164730991,668.7952085,534.3036262
5,129.7196629,742.2880381,180500732.8,4.463223485,296.8363044,3.169541067,861.2389895,533.7331918
6,273.0705172,561.2191687,16378675312,4.235990428,145.9977741,3.893491458,851.2870882,417.9540184
7,658.5147378,885.4719308,7002126115,3.895107782,117.0740074,6.446696148,1084.988881,770.7863881
8,526.9762329,647.7045705,859405946.2,2.975101292,61.24001767,6.218437033,767.3637192,586.7277295
9,568.3715226,707.7929975,9238769672,3.184738346,70.67482644,3.322184135,847.494691,638.3623533
10,531.143073,676.9690104,19851572370,3.293121696,76.20638117,11.00129664,898.6816213,603.7459892
